date,open,high,low,close,volume
2018-01-02,10.95,11.07,9.52,9.77,0
2018-01-03,9.56,9.65,8.94,9.15,0
2018-01-04,9.01,9.31,8.92,9.22,0
2018-01-05,9.1,9.54,9.0,9.22,0
2018-01-08,9.61,9.89,9.32,9.52,0
2018-01-09,9.41,10.09,9.37,10.08,0
2018-01-10,10.11,10.85,9.82,9.82,0
2018-01-11,9.69,10.02,9.62,9.88,0
2018-01-12,9.74,10.31,9.54,10.16,0
2018-01-16,10.42,12.41,10.4,11.66,0
2018-01-17,11.35,12.81,11.18,11.91,0
2018-01-18,12.01,12.4,11.62,12.22,0
2018-01-19,12.3,12.33,11.18,11.27,0
2018-01-22,11.59,11.62,10.84,11.03,0
2018-01-23,10.77,11.57,10.76,11.1,0
2018-01-24,11.0,12.19,10.89,11.47,0
2018-01-25,11.27,12.01,11.2,11.58,0
2018-01-26,11.4,11.6,11.08,11.08,0
2018-01-29,11.71,13.84,11.68,13.84,0
2018-01-30,13.93,15.42,13.88,14.79,0
2018-01-31,14.23,14.44,13.41,13.54,0
2018-02-01,13.05,14.3,12.5,13.47,0
2018-02-02,13.64,17.86,13.64,17.31,0
2018-02-05,18.44,38.8,16.8,37.32,0
2018-02-06,37.32,50.3,22.42,29.98,0
2018-02-07,31.38,31.64,21.17,27.73,0
2018-02-08,27.29,36.17,24.41,33.46,0
2018-02-09,32.18,41.06,27.73,29.06,0
2018-02-12,27.25,29.7,24.42,25.61,0
2018-02-13,26.94,27.82,24.47,24.97,0
2018-02-14,23.48,25.72,18.99,19.26,0
2018-02-15,18.39,20.66,17.6,19.13,0
2018-02-16,18.74,20.99,17.44,19.46,0
2018-02-20,20.53,21.61,19.75,20.6,0
2018-02-21,20.76,21.04,16.97,20.02,0
2018-02-22,20.57,20.61,18.07,18.72,0
2018-02-23,17.96,18.8,16.47,16.49,0
2018-02-26,16.53,16.94,15.8,15.8,0
2018-02-27,15.83,18.98,15.29,18.59,0
2018-02-28,18.08,20.44,15.65,19.85,0
2018-03-01,19.96,25.3,19.57,22.47,0
2018-03-02,22.47,26.22,19.36,19.59,0
2018-03-05,21.55,21.57,17.94,18.73,0
2018-03-06,18.25,19.64,17.68,18.36,0
2018-03-07,20.11,20.49,17.52,17.76,0
2018-03-08,17.56,17.68,14.91,16.54,0
2018-03-09,16.41,16.75,13.31,14.64,0
2018-03-12,15.28,16.35,15.18,15.78,0
2018-03-13,15.7,16.98,15.03,16.35,0
2018-03-14,16.59,17.59,14.94,17.23,0
2018-03-15,16.99,17.41,15.96,16.59,0
2018-03-16,16.6,16.72,15.23,15.8,0
2018-03-19,16.63,21.87,16.56,19.02,0
2018-03-20,18.38,19.31,18.09,18.2,0
2018-03-21,17.76,18.37,16.26,17.86,0
2018-03-22,18.13,23.81,18.12,23.34,0
2018-03-23,24.02,26.01,21.63,24.87,0
2018-03-26,23.41,24.54,20.71,21.03,0
2018-03-27,20.33,24.06,19.84,22.5,0
2018-03-28,22.52,24.94,21.71,22.87,0
2018-03-29,22.87,23.05,19.6,19.97,0
2018-04-02,21.07,25.72,20.44,23.62,0
2018-04-03,23.03,23.38,20.92,21.1,0
2018-04-04,21.68,24.51,19.86,20.06,0
2018-04-05,19.76,20.21,18.57,18.94,0
2018-04-06,20.33,23.12,18.6,21.49,0
2018-04-09,21.27,22.02,20.34,21.77,0
2018-04-10,20.51,21.68,20.24,20.47,0
2018-04-11,20.95,21.66,19.64,20.24,0
2018-04-12,19.83,19.92,18.16,18.49,0
2018-04-13,18.27,18.45,17.26,17.41,0
2018-04-16,17.59,17.66,16.38,16.56,0
2018-04-17,16.16,16.27,14.57,15.25,0
2018-04-18,15.3,16.9,14.95,15.6,0
2018-04-19,15.55,16.92,15.16,15.96,0
2018-04-20,16.16,17.5,15.19,16.88,0
2018-04-23,17.29,17.56,15.79,16.34,0
2018-04-24,16.16,19.66,15.37,18.02,0
2018-04-25,18.14,19.84,17.75,17.84,0
2018-04-26,18.07,18.12,16.24,16.24,0
2018-04-27,16.22,16.77,15.25,15.41,0
2018-04-30,15.39,16.35,15.13,15.93,0
2018-05-01,15.78,16.82,15.42,15.49,0
2018-05-02,15.48,15.97,14.75,15.97,0
2018-05-03,15.78,18.66,15.43,15.9,0
2018-05-04,15.94,16.92,10.91,14.77,0
2018-05-07,15.32,15.52,14.51,14.75,0
2018-05-08,14.53,15.56,14.52,14.71,0
2018-05-09,14.54,14.63,13.38,13.42,0
2018-05-10,13.36,13.63,12.92,13.23,0
2018-05-11,13.22,13.44,12.65,12.65,0
2018-05-14,12.95,13.28,12.81,12.93,0
2018-05-15,13.13,15.01,12.5,14.63,0
2018-05-16,14.38,14.91,13.21,13.42,0
